epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,learning_rate,loss,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9807742238044739,0.2925998270511627,0.21117490530014038,0.09179288893938065,0.1042298749089241,0.0010000000474974513,0.16888950765132904,0.5329346656799316,0.9810882210731506,0.9659292101860046,0.9951871633529663,0.9846648573875427,0.2723395824432373,0.0677562728524208,0.02025536634027958,0.027962233871221542,0.09581110626459122,0.7424616813659668,0.9848214387893677,0.984565019607544,0.9949397444725037
1,0.9854490756988525,0.34348586201667786,0.3822772800922394,0.14315594732761383,0.1920354813337326,0.0010000000474974513,0.05412647873163223,0.5438095331192017,0.9890040755271912,0.9823673367500305,0.9962955117225647,0.9876115322113037,0.38069987297058105,0.5234419107437134,0.1902519017457962,0.27834025025367737,0.04120852053165436,0.6725444197654724,0.99229896068573,0.9833047986030579,0.9973316788673401
2,0.9857925176620483,0.369425505399704,0.4671860933303833,0.18824991583824158,0.21805310249328613,0.0010000000474974513,0.0491037592291832,0.564517080783844,0.9903798699378967,0.9814429879188538,0.9967162609100342,0.9875782132148743,0.38071200251579285,0.45684558153152466,0.12381124496459961,0.21648481488227844,0.04751424491405487,0.7480552196502686,0.989588737487793,0.9862581491470337,0.9965177774429321
3,0.9859205484390259,0.3754027187824249,0.4690075218677521,0.20097635686397552,0.22819674015045166,0.0010000000474974513,0.045395899564027786,0.5906201004981995,0.9907252192497253,0.9817482233047485,0.9968315958976746,0.9894999861717224,0.4093990921974182,0.590674638748169,0.19742351770401,0.2890821695327759,0.03283479064702988,0.569484531879425,0.9925391674041748,0.9867249727249146,0.9974404573440552
4,0.9880702495574951,0.4178127348423004,0.5615151524543762,0.2751891314983368,0.3059072196483612,0.0010000000474974513,0.036105621606111526,0.5883424282073975,0.9919707775115967,0.9846321940422058,0.9972286224365234,0.990085780620575,0.4389108121395111,0.6223685145378113,0.29500335454940796,0.2537587881088257,0.03117300383746624,0.6188807487487793,0.9925733804702759,0.987769365310669,0.997465193271637
5,0.9886769652366638,0.4384809732437134,0.5737549066543579,0.3862680494785309,0.3047727048397064,0.0010000000474974513,0.03412497416138649,0.6118881106376648,0.9924811720848083,0.9847549796104431,0.9973828792572021,0.9901881217956543,0.4446656405925751,0.5820121765136719,0.3775917887687683,0.36132264137268066,0.028801079839468002,0.6534274816513062,0.9942259788513184,0.9860788583755493,0.9979403614997864
6,0.9894722104072571,0.4703337550163269,0.6162676811218262,0.4417937695980072,0.3613548278808594,0.0010000000474974513,0.03064419887959957,0.6128922700881958,0.9927207231521606,0.9860169291496277,0.9974754452705383,0.9899351000785828,0.47315433621406555,0.5887014269828796,0.5525097250938416,0.3507069945335388,0.028929123654961586,0.5749412178993225,0.993859052658081,0.9859548211097717,0.9978281259536743
7,0.9897770285606384,0.4865550398826599,0.6258771419525146,0.5065893530845642,0.3603666424751282,0.0010000000474974513,0.029041515663266182,0.6381160020828247,0.9925920963287354,0.9868090748786926,0.9974430799484253,0.9911306500434875,0.5070754885673523,0.6359066367149353,0.5090891122817993,0.3995053172111511,0.026552192866802216,0.7540391683578491,0.9931348562240601,0.9886869192123413,0.9976292252540588
8,0.9903092980384827,0.5065023899078369,0.635222315788269,0.5569215416908264,0.3840513527393341,0.0010000000474974513,0.027309250086545944,0.6795384287834167,0.992975652217865,0.9873815774917603,0.9975740313529968,0.9917964339256287,0.5400838851928711,0.7302147746086121,0.5517896413803101,0.33997127413749695,0.02408941276371479,0.7148216366767883,0.9928220510482788,0.9903678894042969,0.9975666403770447
9,0.991137683391571,0.5418213605880737,0.6815422773361206,0.611113965511322,0.42711469531059265,0.0010000000474974513,0.02446148730814457,0.6990324258804321,0.9930608868598938,0.988616943359375,0.9976174831390381,0.9915629625320435,0.5033629536628723,0.6310794949531555,0.5353970527648926,0.44920751452445984,0.024079585447907448,0.6951956748962402,0.9942190647125244,0.9883212447166443,0.9979693293571472
